date,open,high,low,close,volume
2026-01-29,4155.919,4170.214,4138.299,4157.985,90590837100
2026-01-30,4131.993,4152.85,4064.777,4117.948,80434274600
2026-02-02,4079.708,4103.407,4013.656,4015.746,73295369800
2026-02-03,4043.906,4069.418,4002.782,4067.738,63768424900
2026-02-04,4064.677,4104.621,4062.683,4102.202,67425424400
2026-02-05,4075.025,4088.904,4048.939,4075.917,59672223600
2026-02-06,4040.299,4095.03,4029.973,4065.583,55670980100
2026-02-09,4103.54,4123.159,4093.056,4123.09,57263258200
2026-02-10,4127.766,4134.338,4117.564,4128.373,52462096900
2026-02-11,4124.428,4142.561,4122.428,4131.985,50068527800
2026-02-12,4136.99,4140.593,4124.131,4134.018,52937011600
2026-02-13,4115.924,4123.844,4079.77,4082.073,50079947200
2026-02-24,4129.134,4131.55,4105.937,4117.409,56632224900
2026-02-25,4123.781,4167.844,4122.699,4147.231,72478721400
2026-02-26,4151.068,4152.193,4127.153,4146.631,65170282600
2026-02-27,4128.897,4166.234,4128.36,4162.882,68204764600
2026-03-02,4151.801,4188.77,4131.368,4182.591,86157921800
2026-03-03,4189.408,4197.228,4116.011,4122.676,92113917000
2026-03-04,4087.632,4106.04,4055.413,4082.474,76516953100
2026-03-05,4109.777,4125.617,4090.621,4108.567,68974653500
2026-03-06,4085.895,4129.465,4085.895,4124.194,64676576000
2026-03-09,4098.699,4106.534,4052.545,4096.602,79780355600
2026-03-10,4098.587,4123.958,4098.587,4123.138,67492219400
2026-03-11,4123.666,4135.839,4112.8,4133.433,70772716900
2026-03-12,4133.2,4141.649,4103.164,4129.103,78615118200
2026-03-13,4117.574,4134.079,4086.847,4095.449,79205476400
2026-03-16,4092.249,4096.133,4048.087,4084.786,73222709800
2026-03-17,4086.295,4108.4,4049.58,4049.907,67877122400
2026-03-18,4053.305,4065.373,4023.03,4062.984,62387310200
2026-03-19,4028.542,4042.022,3994.165,4006.552,66725542200
2026-03-20,4004.573,4022.703,3955.711,3957.053,66679838700
2026-03-23,3904.951,3906.622,3794.684,3813.283,80473885000
2026-03-24,3849.631,3881.424,3807.994,3881.28,68062203900
2026-03-25,3892.269,3933.061,3891.816,3931.838,68834362600
2026-03-26,3924.962,3937.104,3880.573,3889.084,61597398100
2026-03-27,3852.094,3924.108,3852.094,3913.724,56134296300
2026-03-30,3884.277,3924.289,3872.776,3923.287,59558947900
2026-03-31,3924.067,3948.811,3891.861,3891.861,60670498300
2026-04-01,3939.566,3955.943,3929.921,3948.552,56461159800
2026-04-02,3940.799,3952.576,3900.116,3919.285,54421283500
2026-04-03,3927.592,3929.529,3871.3,3880.097,49269908200
2026-04-07,3884.151,3902.607,3875.684,3890.165,47361507600
2026-04-08,3930.251,3994.998,3926.249,3994.998,64413535200
2026-04-09,3967.63,3979.127,3955.246,3966.171,54156980100
2026-04-10,3985.464,4011.024,3979.814,3986.225,54641554100
2026-04-13,3971.199,3991.262,3966.198,3988.558,54578176800
2026-04-14,4006.727,4026.626,3992.407,4026.626,57025900300
2026-04-15,4039.471,4050.621,4020.904,4027.21,56945858900
2026-04-16,4030.138,4057.831,4028.909,4055.547,54587696700
2026-04-17,4043.381,4058.604,4038.429,4051.425,54879140600
2026-04-20,4053.375,4083.19,4051.685,4082.127,58984137900
2026-04-21,4075.845,4086.637,4062.133,4085.077,57668945000
2026-04-22,4074.813,4106.844,4074.68,4106.258,58246634600
2026-04-23,4110.788,4114.844,4070.46,4093.25,67116609200
2026-04-24,4081.033,4092.613,4061.145,4079.9,60503179800
2026-04-27,4074.811,4092.831,4071.08,4086.344,58995086700
2026-04-28,4076.143,4090.201,4062.872,4078.637,60050749800
2026-04-29,4061.822,4112.152,4061.822,4107.514,61422145100
2026-04-30,4107.297,4118.755,4100.966,4112.159,65691272800
2026-05-06,4135.451,4166.147,4129.911,4160.174,70117748000
2026-05-07,4168.447,4180.21,4163.137,4180.092,68557424900
2026-05-08,4163.854,4183.063,4154.246,4179.952,69701909400
2026-05-11,4201.347,4229.58,4186.082,4225.021,76273628700
2026-05-12,4229.283,4230.184,4199.344,4214.489,71898400200
2026-05-13,4192.315,4245.068,4192.315,4242.572,70501873900
2026-05-14,4256.157,4258.863,4177.918,4177.918,76423500400
2026-05-15,4174.175,4191.807,4114.086,4135.389,73316235700
2026-05-18,4120.14,4145.661,4108.604,4131.528,62723313700
2026-05-19,4122.961,4170.289,4107.994,4169.538,61761106700
2026-05-20,4152.698,4169.847,4139.974,4162.185,62415203500
2026-05-21,4174.377,4199.527,4074.217,4077.277,72721870100
2026-05-22,4096.172,4120.088,4067.747,4112.9,58945964400
2026-05-25,4126.338,4153.879,4119.8,4152.569,61593086100
2026-05-26,4137.32,4150.289,4104.459,4145.373,65477775600
2026-05-27,4138.805,4153.561,4077.616,4093.727,66046739900
2026-05-28,4080.304,4110.782,4055.828,4098.636,62117995000
2026-05-29,4110.521,4112.955,4055.886,4068.569,73159771000
2026-06-01,4067.158,4093.041,4045.69,4057.74,67602580600
2026-06-02,4061.463,4089.575,4032.583,4075.102,64224465600
2026-06-03,4068.341,4107.046,4059.907,4083.974,66845258300
2026-06-04,4053.67,4080.718,4043.433,4057.781,62119477400
2026-06-05,4044.829,4078.932,4015.063,4027.736,66291857700
2026-06-08,3938.709,4007.493,3927.853,3959.338,65929355500
2026-06-09,3977.539,4010.872,3955.908,4010.031,57657009000
2026-06-10,3985.124,4006.313,3963.442,3993.226,59869473900
2026-06-11,3979.706,3997.478,3958.437,3987.015,56854524400
2026-06-12,4017.865,4060.271,4008.177,4031.513,74313109200
2026-06-15,4053.582,4097.166,4051.065,4096.472,67890781100
2026-06-16,4094.212,4103.926,4077.87,4091.892,61566829600
2026-06-17,4074.291,4109.958,4073.732,4108.076,60807741300
2026-06-18,4094.23,4117.451,4080.294,4090.481,65811606800
2026-06-22,4093.955,4164.418,4070.172,4163.097,74369935500
2026-06-23,4153.593,4175.348,4085.591,4106.252,70900391300
2026-06-24,4090.1,4117.285,4075.492,4110.813,64452751800
2026-06-25,4103.482,4133.098,4093.009,4120.281,67045991700
2026-06-26,4098.686,4099.78,4007.859,4027.265,66010866600
2026-06-29,4026.686,4075.334,3992.552,4073.902,65919993600
2026-06-30,4058.17,4097.415,4052.17,4094.397,59841220300
2026-07-01,4090.76,4143.314,4087.535,4112.445,67233179100
2026-07-02,4054.086,4093.678,4019.215,4028.904,65623361200
2026-07-03,4031.335,4073.88,4027.255,4043.643,60200973800
2026-07-06,4059.194,4060.069,4005.414,4041.238,59036490300
2026-07-07,4019.494,4028.514,3971.713,3990.235,51445309100
2026-07-08,3996.807,4016.026,3967.913,3970.88,49622937400
2026-07-09,3977.547,4040.539,3938.878,4036.588,55306398000
2026-07-10,4031.537,4074.828,3995.807,3996.162,62745006500
2026-07-13,3966.023,3983.054,3900.668,3913.794,59090735600
2026-07-14,3909.274,3967.126,3869.304,3967.126,57998205200
2026-07-15,3963.727,3981.672,3943.695,3955.578,57620949200
2026-07-16,3912.381,3940.451,3867.601,3882.413,53528187300
2026-07-17,3865.317,3869.215,3745.174,3764.155,65045098400
2026-07-20,3791.662,3831.659,3741.11,3796.281,70923406900
2026-07-21,3812.162,3864.6,3743.36,3864.367,73502192500
2026-07-22,3839.665,3884.435,3839.665,3867.034,61425521500
2026-07-23,3868.087,3878.832,3851.706,3876.777,56212260100
2026-07-24,3853.632,3861.04,3808.636,3814.198,50820390500
2026-07-27,3808.903,3858.31,3793.449,3858.245,50487945400
2026-07-28,3823.133,3844.012,3797.373,3813.315,49482912600
2026-07-29,3823.293,3845.766,3782.481,3828.469,57122639100
2026-07-30,3812.111,3839.341,3767.503,3804.693,59229892300
2026-07-31,3833.536,3847.093,3822.374,3832.262,59752942700
2026-08-03,3812.613,3827.636,3797.643,3809.663,52451696000
2026-08-04,3816.37,3831.94,3799.524,3822.285,54032492200
2026-08-05,3815.122,3884.397,3815.122,3878.43,59215512400
2026-08-06,3864.273,3902.054,3864.273,3900.352,58855528000
2026-08-07,3896.485,3940.935,3885.625,3940.037,56498858200
2026-08-10,3943.816,3967.592,3938.625,3966.594,54211811000
2026-08-11,3950.708,3966.391,3930.639,3934.093,52949094400
2026-08-12,3933.553,3950.621,3927.549,3946.675,50325701100
2026-08-13,3957.161,3968.476,3924.642,3926.965,57279367700
2026-08-14,3930.022,3932.641,3903.705,3927.176,49952561300
2026-08-17,3930.104,3983.507,3924.474,3982.654,48983402700
2026-08-18,3979.49,3994.181,3955.601,3990.304,51123428700
2026-08-19,3952.122,3961.137,3879.579,3894.422,57219121300
2026-08-20,3907.206,3925.062,3888.099,3903.721,50663395400
2026-08-21,3891.175,3912.131,3883.787,3905.203,44689586800
2026-08-24,3902.696,3910.239,3855.352,3882.008,48693141200
2026-08-25,3863.37,3896.206,3850.863,3889.445,46411726400
2026-08-26,3881.741,3926.435,3881.741,3912.524,48955302100
2026-08-27,3911.891,3958.033,3909.312,3956.571,51677754900
2026-08-28,3950.237,3970.31,3947.798,3952.179,51058164500
2026-08-31,3926.531,3986.298,3926.504,3986.298,57665660600
2026-09-01,3979.881,3995.175,3976.469,3979.888,57353894900
2026-09-02,3963.066,3965.808,3932.252,3941.386,51647277500
2026-09-03,3952.795,3968.112,3930.447,3942.088,49699018900
2026-09-04,3955.549,3980.202,3915.221,3930.116,53728616100
2026-09-07,3942.509,3948.421,3916.492,3932.699,47737526100
2026-09-08,3935.548,3951.322,3925.72,3940.551,52999268800
2026-09-09,3943.922,3958.117,3933.469,3951.507,51750431100
2026-09-10,3939.095,3949.255,3927.347,3934.404,48467511400
2026-09-11,3910.923,3912.325,3852.032,3888.111,57912314500
